Country of Registration,Event,Event Start Date,Event End Date,Name of vessel,Vessel Type,Main fishing gear,Subsidiary fishing gear 1,LOA,Tonnage GT,Power of main engine,MMSIstr
ITA,MOD,2020-11-27,2100-12-31,ODISSEA,FX,OTB,PTM,17.8,39.0,324.0,247053370
ITA,MOD,2022-01-05,2100-12-31,BOCCIA V.M.,FX,OTB,NO,28.86,188.0,293.0,247146270
ITA,MOD,2020-08-25,2021-05-03,SANTA MARIA,FX,OTB,GNS,14.39,29.0,110.3,247121930
ITA,MOD,2021-05-04,2021-09-26,SANTA MARIA,FX,OTB,GNS,14.39,29.0,110.3,247121930
ITA,MOD,2021-09-27,2023-02-08,SANTA MARIA,FX,OTB,GNS,14.39,29.0,110.3,247121930
ITA,MOD,2023-02-09,2023-02-09,SANTA MARIA,FX,OTB,GNS,14.39,29.0,110.3,247121930
ITA,MOD,2023-02-10,2100-12-31,SANTA MARIA,FX,OTB,GNS,14.39,29.0,110.3,247121930
ITA,MOD,2013-05-31,2014-10-05,ANTONIA MADRE,FX,OTB,GNS,18.42,36.0,132.0,247122340
ITA,MOD,2014-10-06,2016-10-22,ANTONIA MADRE,FX,OTB,GNS,18.42,36.0,132.0,247122340
ITA,MOD,2016-10-23,2018-12-17,ANTONIA MADRE,FX,OTB,GNS,18.42,36.0,132.0,247122340
ITA,MOD,2018-12-18,2020-02-19,ANTONIA MADRE,FX,OTB,GNS,18.42,36.0,132.0,247122340
ITA,MOD,2020-02-20,2022-01-19,SOLE NASCENTE,FX,OTB,GNS,18.42,36.0,132.0,247122340
ITA,MOD,2022-01-20,2022-08-17,SOLE NASCENTE,FX,OTB,GNS,18.42,36.0,132.0,247122340
ITA,MOD,2022-08-18,2022-08-25,SOLE NASCENTE,FX,OTB,GNS,18.42,36.0,0.0,247122340
ITA,MOD,2022-08-26,2100-12-31,SOLE NASCENTE,FX,OTB,GNS,18.42,36.0,132.0,247122340
ITA,MOD,2018-12-20,2100-12-31,LUNA ROSSA,FX,OTB,NO,21.95,58.0,283.0,247081710
ITA,MOD,2012-05-31,2013-01-07,SAN PIO,FX,OTB,NO,24.26,158.0,554.0,247083350
ITA,MOD,2013-01-08,2013-01-13,SAN PIO,FX,OTB,NO,24.26,158.0,554.0,247083350
ITA,MOD,2013-01-14,2015-12-31,SAN PIO,FX,OTB,NO,24.26,158.0,554.0,247083350
ITA,MOD,2016-01-01,2016-06-08,SAN PIO,FX,OTB,NO,24.26,158.0,554.0,247083350
ITA,MOD,2016-06-09,2016-11-24,SAN PIO,FX,OTB,NO,24.26,158.0,554.0,247083350
ITA,MOD,2016-11-25,2020-12-14,SAN PIO,FX,OTB,NO,24.26,158.0,554.0,247083350
ITA,MOD,2020-12-15,2020-12-28,SAN PIO,FX,OTB,NO,24.26,158.0,554.0,247083350
ITA,MOD,2020-12-29,2023-02-05,OSIRIDE,FX,OTB,NO,24.26,158.0,554.0,247083350
ITA,MOD,2023-02-06,2100-12-31,OSIRIDE,FX,OTB,NO,24.26,158.0,554.0,247083350
ITA,MOD,2023-05-11,2100-12-31,CUORE MATTO,FX,OTB,PS,14.23,22.0,103.2,247280180
ITA,MOD,2020-08-25,2025-05-06,DEA SIMONA,FX,OTB,LLS,12.85,14.0,164.5,247049090
ITA,MOD,2025-05-07,2100-12-31,DEA SIMONA,FX,OTB,LLS,12.85,14.0,164.5,247049090
ITA,MOD,2012-05-31,2013-12-15,CARFAGNA GIULIANO,FX,OTB,NO,26.75,141.0,441.0,247083210
ITA,MOD,2013-12-16,2015-12-31,CARFAGNA GIULIANO,FX,OTB,NO,26.75,141.0,441.0,247083210
ITA,MOD,2016-01-01,2017-11-14,CARFAGNA GIULIANO,FX,OTB,NO,26.75,141.0,441.0,247083210
ITA,MOD,2017-11-15,2100-12-31,CARFAGNA GIULIANO,FX,OTB,NO,26.75,141.0,467.0,247083210
ITA,MOD,2016-10-24,2100-12-31,EURO,FX,OTB,NO,20.8,77.0,219.85,247100190
ITA,MOD,2022-02-15,2100-12-31,LUCE DEL MARE,FX,OTB,PS,18.33,38.0,211.0,247120710
ITA,MOD,2016-12-29,2100-12-31,GIULIO PRIMO,FX,OTB,NO,24.47,134.0,492.0,247081060
ITA,MOD,2021-04-15,2100-12-31,MADONNA DI LORETO II,FX,OTB,NO,14.11,12.0,166.0,247129150
ITA,MOD,2021-01-12,2023-03-29,NUOVO TRENTA CARRINI,FX,OTB,LLS,25.17,142.0,316.48,247150040
ITA,MOD,2023-03-30,2100-12-31,NUOVO TRENTA CARRINI,FX,OTB,LLS,25.17,142.0,316.48,247150040
ITA,MOD,2016-01-01,2025-03-13,MARPESCA,FX,OTB,PS,26.56,124.0,441.2,247100040
ITA,RET,2025-03-14,2025-03-14,MARPESCA,FX,OTB,PS,26.56,124.0,441.2,247100040
ITA,MOD,2013-05-31,2100-12-31,RED MOON,FX,OTB,NO,19.53,53.0,190.0,247123530
